Driver,DriverNumber,Team,LapNumber,LapTime,Stint,Compound,TyreLife,LapStartTime,TrackStatus,IsAccurate,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindSpeed,WindDirection,source_file,LapTimeSeconds
VER,1,Red Bull,7.0,0 days 00:01:40.785000,1.0,MEDIUM,7.0,0 days 00:28:26.574000,1,True,18.0,18.1,47.0,939.9,False,2.2,220,laps_2023_las_vegas_R.csv,100.785
LEC,16,Ferrari,7.0,0 days 00:01:41.488000,1.0,MEDIUM,7.0,0 days 00:28:27.740000,1,True,18.0,18.1,47.0,939.9,False,2.2,220,laps_2023_las_vegas_R.csv,101.488
RUS,63,Mercedes,7.0,0 days 00:01:42.057000,1.0,MEDIUM,7.0,0 days 00:28:28.237000,1,True,18.0,18.1,47.0,939.9,False,2.2,220,laps_2023_las_vegas_R.csv,102.057
GAS,10,Alpine,7.0,0 days 00:01:42.346000,1.0,MEDIUM,7.0,0 days 00:28:28.742000,1,True,18.0,18.1,47.0,939.9,False,2.2,220,laps_2023_las_vegas_R.csv,102.346
ALB,23,Williams,7.0,0 days 00:01:42.484000,1.0,MEDIUM,7.0,0 days 00:28:29.176000,1,True,18.0,18.1,47.0,939.9,False,2.2,220,laps_2023_las_vegas_R.csv,102.484
SAR,2,Williams,7.0,0 days 00:01:42.737000,1.0,MEDIUM,7.0,0 days 00:28:29.846000,1,True,18.0,18.1,47.0,939.9,False,2.2,220,laps_2023_las_vegas_R.csv,102.737
MAG,20,Haas F1 Team,7.0,0 days 00:01:43.315000,1.0,MEDIUM,7.0,0 days 00:28:30.447000,1,True,18.0,18.1,47.0,939.9,False,2.2,220,laps_2023_las_vegas_R.csv,103.315
OCO,31,Alpine,7.0,0 days 00:01:43.395000,1.0,MEDIUM,7.0,0 days 00:28:30.834000,1,True,18.0,18.1,47.0,939.9,False,2.2,220,laps_2023_las_vegas_R.csv,103.395
HUL,27,Haas F1 Team,7.0,0 days 00:01:43.232000,1.0,MEDIUM,7.0,0 days 00:28:31.529000,1,True,18.0,18.1,47.0,939.9,False,2.2,220,laps_2023_las_vegas_R.csv,103.232
TSU,22,AlphaTauri,7.0,0 days 00:01:43.863000,1.0,SOFT,7.0,0 days 00:28:32.154000,1,True,18.0,18.1,47.0,939.9,False,2.2,220,laps_2023_las_vegas_R.csv,103.863
PIA,81,McLaren,7.0,0 days 00:01:42.831000,1.0,HARD,8.0,0 days 00:28:32.219000,1,True,18.0,18.1,47.0,939.9,False,2.2,220,laps_2023_las_vegas_R.csv,102.831
HAM,44,Mercedes,7.0,0 days 00:01:43.391000,1.0,HARD,7.0,0 days 00:28:32.680000,1,True,18.0,18.1,47.0,939.9,False,2.2,220,laps_2023_las_vegas_R.csv,103.391
RIC,3,AlphaTauri,7.0,0 days 00:01:44.744000,1.0,MEDIUM,7.0,0 days 00:28:33.769000,1,True,18.0,18.1,47.0,939.9,False,2.2,220,laps_2023_las_vegas_R.csv,104.744
ZHO,24,Alfa Romeo,7.0,0 days 00:01:43.063000,1.0,HARD,7.0,0 days 00:28:34.175000,1,True,18.0,18.1,47.0,939.9,False,2.2,220,laps_2023_las_vegas_R.csv,103.063
STR,18,Aston Martin,7.0,0 days 00:01:43.790000,2.0,HARD,5.0,0 days 00:28:35.048000,1,True,18.0,18.1,47.0,939.9,False,2.2,220,laps_2023_las_vegas_R.csv,103.79
