Driver,DriverNumber,Team,LapNumber,LapTime,Stint,Compound,TyreLife,LapStartTime,TrackStatus,IsAccurate,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindSpeed,WindDirection
VER,1,Red Bull Racing,1.0,0 days 00:01:45.670000,1.0,MEDIUM,1.0,0 days 00:14:02.793000,126,False,17.9,18.5,47.0,940.0,False,2.7,223
PER,11,Red Bull Racing,1.0,0 days 00:02:04.700000,1.0,MEDIUM,1.0,0 days 00:14:02.793000,126,False,17.9,18.5,47.0,940.0,False,2.7,223
BOT,77,Alfa Romeo,1.0,0 days 00:02:28.494000,1.0,MEDIUM,1.0,0 days 00:14:02.793000,126,False,17.9,18.5,47.0,940.0,False,2.7,223
ALO,14,Aston Martin,1.0,0 days 00:02:24.948000,1.0,MEDIUM,1.0,0 days 00:14:02.793000,126,False,17.9,18.5,47.0,940.0,False,2.7,223
RUS,63,Mercedes,1.0,0 days 00:01:48.990000,1.0,MEDIUM,1.0,0 days 00:14:02.793000,126,False,17.9,18.5,47.0,940.0,False,2.7,223
LEC,16,Ferrari,1.0,0 days 00:01:47.347000,1.0,MEDIUM,1.0,0 days 00:14:02.793000,126,False,17.9,18.5,47.0,940.0,False,2.7,223
SAI,55,Ferrari,1.0,0 days 00:02:20.523000,1.0,MEDIUM,1.0,0 days 00:14:02.793000,126,False,17.9,18.5,47.0,940.0,False,2.7,223
STR,18,Aston Martin,1.0,0 days 00:01:59.754000,1.0,SOFT,5.0,0 days 00:14:02.793000,126,False,17.9,18.5,47.0,940.0,False,2.7,223
PIA,81,McLaren,1.0,0 days 00:02:06.811000,1.0,HARD,2.0,0 days 00:14:02.793000,126,False,17.9,18.5,47.0,940.0,False,2.7,223
HAM,44,Mercedes,1.0,0 days 00:02:14.661000,1.0,HARD,1.0,0 days 00:14:02.793000,126,False,17.9,18.5,47.0,940.0,False,2.7,223
SAR,2,Williams,1.0,0 days 00:01:55.541000,1.0,MEDIUM,1.0,0 days 00:14:02.793000,126,False,17.9,18.5,47.0,940.0,False,2.7,223
OCO,31,Alpine,1.0,0 days 00:01:58.932000,1.0,MEDIUM,1.0,0 days 00:14:02.793000,126,False,17.9,18.5,47.0,940.0,False,2.7,223
MAG,20,Haas F1 Team,1.0,0 days 00:01:56.721000,1.0,MEDIUM,1.0,0 days 00:14:02.793000,126,False,17.9,18.5,47.0,940.0,False,2.7,223
RIC,3,AlphaTauri,1.0,0 days 00:02:16.633000,1.0,MEDIUM,1.0,0 days 00:14:02.793000,126,False,17.9,18.5,47.0,940.0,False,2.7,223
