Driver,DriverNumber,Team,LapNumber,LapTime,Stint,Compound,TyreLife,LapStartTime,TrackStatus,IsAccurate,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindSpeed,WindDirection
VER,1,Red Bull Racing,1.0,0 days 00:01:24.238000,1.0,MEDIUM,1.0,0 days 01:02:02.950000,12,False,25.1,42.3,44.0,1013.5,False,0.4,94
RUS,63,Mercedes,1.0,0 days 00:01:30.387000,1.0,HARD,1.0,0 days 01:02:02.950000,12,False,25.1,42.3,44.0,1013.5,False,0.4,94
GAS,10,Alpine,1.0,0 days 00:01:29.701000,1.0,HARD,1.0,0 days 01:02:02.950000,12,False,25.1,42.3,44.0,1013.5,False,0.4,94
SAI,55,Ferrari,1.0,0 days 00:01:27.390000,1.0,HARD,1.0,0 days 01:02:02.950000,12,False,25.1,42.3,44.0,1013.5,False,0.4,94
HAM,44,Mercedes,1.0,0 days 00:01:28.585000,1.0,MEDIUM,1.0,0 days 01:02:02.950000,12,False,25.1,42.3,44.0,1013.5,False,0.4,94
NOR,4,McLaren,1.0,0 days 00:01:32.034000,1.0,MEDIUM,1.0,0 days 01:02:02.950000,12,False,25.1,42.3,44.0,1013.5,False,0.4,94
OCO,31,Alpine,1.0,0 days 00:01:26.639000,1.0,MEDIUM,1.0,0 days 01:02:02.950000,12,False,25.1,42.3,44.0,1013.5,False,0.4,94
LEC,16,Ferrari,1.0,0 days 00:01:29.108000,1.0,HARD,1.0,0 days 01:02:02.950000,12,False,25.1,42.3,44.0,1013.5,False,0.4,94
BOT,77,Alfa Romeo,1.0,0 days 00:01:36.914000,1.0,HARD,1.0,0 days 01:02:02.950000,12,False,25.1,42.3,44.0,1013.5,False,0.4,94
HUL,27,Haas F1 Team,1.0,0 days 00:02:00.092000,1.0,MEDIUM,1.0,0 days 01:02:02.950000,12,False,25.1,42.3,44.0,1013.5,False,0.4,94
PER,11,Red Bull Racing,1.0,0 days 00:01:58.190000,1.0,MEDIUM,1.0,0 days 01:02:02.950000,12,False,25.1,42.3,44.0,1013.5,False,0.4,94
ALB,23,Williams,1.0,0 days 00:01:34.616000,1.0,MEDIUM,1.0,0 days 01:02:02.950000,12,False,25.1,42.3,44.0,1013.5,False,0.4,94
TSU,22,AlphaTauri,1.0,0 days 00:01:31.317000,1.0,MEDIUM,1.0,0 days 01:02:02.950000,12,False,25.1,42.3,44.0,1013.5,False,0.4,94
ALO,14,Aston Martin,1.0,0 days 00:01:25.527000,1.0,HARD,2.0,0 days 01:02:02.950000,12,False,25.1,42.3,44.0,1013.5,False,0.4,94
DEV,21,AlphaTauri,1.0,0 days 00:01:33.449000,1.0,MEDIUM,1.0,0 days 01:02:02.950000,12,False,25.1,42.3,44.0,1013.5,False,0.4,94
MAG,20,Haas F1 Team,1.0,0 days 00:01:38.425000,1.0,HARD,1.0,0 days 01:02:02.950000,12,False,25.1,42.3,44.0,1013.5,False,0.4,94
SAR,2,Williams,1.0,0 days 00:01:37.689000,1.0,MEDIUM,1.0,0 days 01:02:02.950000,12,False,25.1,42.3,44.0,1013.5,False,0.4,94
STR,18,Aston Martin,1.0,0 days 00:01:39.562000,1.0,HARD,2.0,0 days 01:02:02.950000,12,False,25.1,42.3,44.0,1013.5,False,0.4,94
ZHO,24,Alfa Romeo,1.0,0 days 00:01:58.785000,1.0,SOFT,1.0,0 days 01:02:02.950000,12,False,25.1,42.3,44.0,1013.5,False,0.4,94
PIA,81,McLaren,1.0,0 days 00:01:33.070000,1.0,HARD,1.0,0 days 01:02:02.950000,12,False,25.1,42.3,44.0,1013.5,False,0.4,94
VER,1,Red Bull Racing,2.0,0 days 00:01:19.367000,1.0,MEDIUM,2.0,0 days 01:03:27.435000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48
ALO,14,Aston Martin,2.0,0 days 00:01:19.646000,1.0,HARD,3.0,0 days 01:03:28.724000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48
OCO,31,Alpine,2.0,0 days 00:01:20.301000,1.0,MEDIUM,2.0,0 days 01:03:29.836000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48
SAI,55,Ferrari,2.0,0 days 00:01:20.593000,1.0,HARD,2.0,0 days 01:03:30.587000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48
HAM,44,Mercedes,2.0,0 days 00:01:20.527000,1.0,MEDIUM,2.0,0 days 01:03:31.782000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48
LEC,16,Ferrari,2.0,0 days 00:01:20.549000,1.0,HARD,2.0,0 days 01:03:32.305000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48
GAS,10,Alpine,2.0,0 days 00:01:20.636000,1.0,HARD,2.0,0 days 01:03:32.898000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48
RUS,63,Mercedes,2.0,0 days 00:01:21.155000,1.0,HARD,2.0,0 days 01:03:33.584000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48
TSU,22,AlphaTauri,2.0,0 days 00:01:21.288000,1.0,MEDIUM,2.0,0 days 01:03:34.514000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48
NOR,4,McLaren,2.0,0 days 00:01:21.610000,1.0,MEDIUM,2.0,0 days 01:03:35.231000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48
PIA,81,McLaren,2.0,0 days 00:01:21.804000,1.0,HARD,2.0,0 days 01:03:36.267000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48
DEV,21,AlphaTauri,2.0,0 days 00:01:21.764000,1.0,MEDIUM,2.0,0 days 01:03:36.646000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48
ALB,23,Williams,2.0,0 days 00:01:20.977000,1.0,MEDIUM,2.0,0 days 01:03:37.813000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48
BOT,77,Alfa Romeo,2.0,0 days 00:01:20.021000,1.0,HARD,2.0,0 days 01:03:40.111000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48
SAR,2,Williams,2.0,0 days 00:01:19.658000,1.0,MEDIUM,2.0,0 days 01:03:40.886000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48
MAG,20,Haas F1 Team,2.0,0 days 00:01:20.175000,1.0,HARD,2.0,0 days 01:03:41.622000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48
STR,18,Aston Martin,2.0,0 days 00:01:19.989000,1.0,HARD,3.0,0 days 01:03:42.759000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48
PER,11,Red Bull Racing,2.0,0 days 00:01:19.704000,2.0,HARD,1.0,0 days 01:04:01.387000,1,False,25.2,43.1,44.0,1013.4,False,1.0,48
ZHO,24,Alfa Romeo,2.0,0 days 00:01:20.757000,2.0,HARD,1.0,0 days 01:04:01.982000,1,False,25.2,43.1,44.0,1013.4,False,1.0,48
