Driver,DriverNumber,Team,LapNumber,LapTime,Stint,Compound,TyreLife,LapStartTime,TrackStatus,IsAccurate,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindSpeed,WindDirection
VER,1,Red Bull Racing,1.0,0 days 00:01:49.827000,1.0,HARD,1.0,0 days 01:02:44.148000,12,False,29.8,36.8,71.0,1008.7,False,1.3,178
HAM,44,Mercedes,1.0,0 days 00:01:45.023000,1.0,MEDIUM,1.0,0 days 01:02:44.148000,12,False,29.8,36.8,71.0,1008.7,False,1.3,178
SAI,55,Ferrari,1.0,0 days 00:01:43.309000,1.0,MEDIUM,1.0,0 days 01:02:44.148000,12,False,29.8,36.8,71.0,1008.7,False,1.3,178
PER,11,Red Bull Racing,1.0,0 days 00:01:51.589000,1.0,HARD,1.0,0 days 01:02:44.148000,12,False,29.8,36.8,71.0,1008.7,False,1.3,178
HUL,27,Haas F1 Team,1.0,0 days 00:01:49.191000,1.0,MEDIUM,1.0,0 days 01:02:44.148000,12,False,29.8,36.8,71.0,1008.7,False,1.3,178
RUS,63,Mercedes,1.0,0 days 00:01:45.772000,1.0,MEDIUM,1.0,0 days 01:02:44.148000,12,False,29.8,36.8,71.0,1008.7,False,1.3,178
OCO,31,Alpine,1.0,0 days 00:01:47.795000,1.0,MEDIUM,1.0,0 days 01:02:44.148000,12,False,29.8,36.8,71.0,1008.7,False,1.3,178
PIA,81,McLaren,1.0,0 days 00:01:51.927000,1.0,MEDIUM,1.0,0 days 01:02:44.148000,12,False,29.8,36.8,71.0,1008.7,False,1.3,178
ALO,14,Aston Martin,1.0,0 days 00:01:47.377000,1.0,MEDIUM,1.0,0 days 01:02:44.148000,12,False,29.8,36.8,71.0,1008.7,False,1.3,178
LAW,40,AlphaTauri,1.0,0 days 00:01:50.934000,1.0,MEDIUM,1.0,0 days 01:02:44.148000,12,False,29.8,36.8,71.0,1008.7,False,1.3,178
LEC,16,Ferrari,1.0,0 days 00:01:44.544000,1.0,SOFT,4.0,0 days 01:02:44.148000,12,False,29.8,36.8,71.0,1008.7,False,1.3,178
SAR,2,Williams,1.0,0 days 00:01:54.060000,1.0,MEDIUM,1.0,0 days 01:02:44.148000,12,False,29.8,36.8,71.0,1008.7,False,1.3,178
BOT,77,Alfa Romeo,1.0,0 days 00:01:54.714000,1.0,HARD,1.0,0 days 01:02:44.148000,12,False,29.8,36.8,71.0,1008.7,False,1.3,178
GAS,10,Alpine,1.0,0 days 00:01:50.115000,1.0,MEDIUM,1.0,0 days 01:02:44.148000,12,False,29.8,36.8,71.0,1008.7,False,1.3,178
