Driver,DriverNumber,Team,LapNumber,LapTime,Stint,Compound,TyreLife,LapStartTime,TrackStatus,IsAccurate,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindSpeed,WindDirection,source_file,LapTimeSeconds
VER,1,Red Bull,2.0,0 days 00:01:19.367000,1.0,MEDIUM,2.0,0 days 01:03:27.435000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48,laps_2023_monaco_R.csv,79.367
ALO,14,Aston Martin,2.0,0 days 00:01:19.646000,1.0,HARD,3.0,0 days 01:03:28.724000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48,laps_2023_monaco_R.csv,79.646
OCO,31,Alpine,2.0,0 days 00:01:20.301000,1.0,MEDIUM,2.0,0 days 01:03:29.836000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48,laps_2023_monaco_R.csv,80.301
SAI,55,Ferrari,2.0,0 days 00:01:20.593000,1.0,HARD,2.0,0 days 01:03:30.587000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48,laps_2023_monaco_R.csv,80.593
HAM,44,Mercedes,2.0,0 days 00:01:20.527000,1.0,MEDIUM,2.0,0 days 01:03:31.782000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48,laps_2023_monaco_R.csv,80.527
LEC,16,Ferrari,2.0,0 days 00:01:20.549000,1.0,HARD,2.0,0 days 01:03:32.305000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48,laps_2023_monaco_R.csv,80.549
GAS,10,Alpine,2.0,0 days 00:01:20.636000,1.0,HARD,2.0,0 days 01:03:32.898000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48,laps_2023_monaco_R.csv,80.636
RUS,63,Mercedes,2.0,0 days 00:01:21.155000,1.0,HARD,2.0,0 days 01:03:33.584000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48,laps_2023_monaco_R.csv,81.155
TSU,22,AlphaTauri,2.0,0 days 00:01:21.288000,1.0,MEDIUM,2.0,0 days 01:03:34.514000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48,laps_2023_monaco_R.csv,81.288
NOR,4,McLaren,2.0,0 days 00:01:21.610000,1.0,MEDIUM,2.0,0 days 01:03:35.231000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48,laps_2023_monaco_R.csv,81.61
PIA,81,McLaren,2.0,0 days 00:01:21.804000,1.0,HARD,2.0,0 days 01:03:36.267000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48,laps_2023_monaco_R.csv,81.804
